latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
31.51614,75.37695,333.53,0.4,0.37,2023-11-06,756,N,VIIRS,n,2,298.49,2.68,D,0
24.25873,92.8335,333.8,0.38,0.36,2023-03-14,658,N,VIIRS,n,2,301.15,52.45,D,0
23.59189,82.64697,304.1,0.44,0.38,2023-04-12,2024,N,VIIRS,n,2,291.5,0.53,N,0
21.48637,81.7689,303.16,0.41,0.45,2023-03-05,2036,N,VIIRS,n,2,292.0,0.81,N,2
31.8843,75.13467,346.79,0.51,0.49,2023-05-10,733,N,VIIRS,n,2,315.46,10.43,D,0
23.68648,86.38881,304.06,0.38,0.36,2023-01-02,1957,N,VIIRS,n,2,288.59,2.17,N,2
23.62943,84.04852,339.83,0.44,0.38,2023-04-19,724,N,VIIRS,l,2,313.17,6.15,D,0
22.8141,85.938,304.5,0.4,0.37,2023-03-02,1951,N,VIIRS,n,2,291.34,0.76,N,0
23.55294,87.24348,308.75,0.47,0.47,2023-05-01,1927,N,VIIRS,n,2,293.42,1.36,N,3
20.44977,80.51849,304.68,0.45,0.39,2023-03-12,2005,N,VIIRS,n,2,294.45,1.33,N,0
